"Title","Company","City","State","Zipcode","PostedDateText","Remote","Job Shelf","Job Type","Job Link"
"Graphic Designer to work with YouTube Creator","X-UP","","","","30+ days ago","Remote work available","Easily apply, Urgently hiring","Part-time","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHnhejZ-0JwgX9EElRkfpybmTf7S1u1uDu_UQS39yfrCZj__MBCpHWoVcwPL60IDwkmghIDF_k9X5qKN18LgYsDNvMsYOTIGJGUjSs_LxRFQBXchgK4ddhoB7VDEh3LlK4Xuc67xgzg38lUVz-udvNsk2caAkgpaPs2B-iC2BTqlMP5-uakjmahn-FIB9iYxmC3iya4NIXHm_lz_j6Yes_3jvkmnh4klwoCZZYJM4oHQIW3-wcz7x2r0a51bClI8uErN5_2NgvBtpVFf7-_FohDVF4_MOxiX84j3stFI1Q2FmZ2vtWPy6dOMqqhVEVBhAGMjNQSOLGIUUSI_8jYxxZxW91DtfrJTwkZBFSMVrgdZS8gdbIybzhp3CeiG6hzzJYu4eI7f-vgg8LFZdLffw1S_igHAR8S1Y_SRVSjBRfCuS9GI1HAE9SOrkPnL7wu1N7Q1Y6xf39gQ==&p=0&fvj=1&vjs=3"
"Videographer/Video Editor - Growing Health Drink Company","Moringa Infusions","","","","6 days ago","Remote work available","Easily apply, Urgently hiring","","https://www.indeed.com/company/Moringa-Infusions/jobs/Videographer-Video-Editor-14f628bf5004cca2?fccid=72f7d8ee2c592060&vjs=3"
"Part-Time Content Specialist","Horizontal","","","","4 days ago","Remote work available","","","https://www.indeed.com/rc/clk?jk=5871b9889aad9e76&fccid=8902ec4b71211d48&vjs=3"
"Multimedia Designer","El Cap Corp","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=b01853339f931a5c&fccid=e0f452bebac4cbee&vjs=3"
"Video Editor Internship","The18","","","","21 days ago","Remote work available","Easily apply","Internship","https://www.indeed.com/company/The18.com/jobs/Video-Editor-Internship-362eb31fce79797e?fccid=02f2360fcd30b0f9&vjs=3"
"Social Media & Videography Intern","Butterfly Pavilion","","","","6 days ago","","Easily apply","","https://www.indeed.com/rc/clk?jk=2497c4dcfa586de7&fccid=beb2627aa672b5fb&vjs=3"
"Digital Content Producer, National Team","The E.W. Scripps Company","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=a1737543df000811&fccid=a5ec4012c28f5d94&vjs=3"
"Experienced Wedding Videographer w/Drone Experience, No Edit...","Tolman Media","","","","25 days ago","Remote work available","Easily apply to this job without a resume, Responsive employer","Contract","https://www.indeed.com/company/Tolman-Media/jobs/Experienced-Wedding-Videographer-W-Drone-Experience-a08270dc5b370dae?fccid=fa087492f0cf5c1e&vjs=3"
"Film/Video Media Production Instructor (part-time)","Community College of Aurora","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=14e23ce751adf77a&fccid=fa00778dd8f6bfe3&vjs=3"
"Film/Video Media Post Production Instructor (part-time)","Community College of Aurora","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=3f6220fbe366a337&fccid=fa00778dd8f6bfe3&vjs=3"
