"Title","Company","City","State","Zipcode","PostedDateText","PostedDate","Job Type","Year Founded","Company Size","Website","Job Link"
"Advertising and Marketing Sales","SenText","Colorado Springs","CO","80951","2 days ago","2020-04-28T12:00","Full Time, Employee","","","","https://job-openings.monster.com/advertising-marketing-sales-colorado-springs-co-us-sentext/217561285"
"Marketing Coordinator","APN Software Services Inc.","Colorado Springs","CO","","+30 days ago","2020-02-20T12:00","","","","","https://job-openings.monster.com/marketing-coordinator-colorado-springs-co-us-apn-software-services-inc/71adeb33-4519-4445-9615-333b46cbcdd1"
"Administrative Assistant - Real Estate","The Stuart Group at KW Premier Realty, LLC","Colorado Springs","CO","","Posted today","2020-04-30T12:00","","","","","https://job-openings.monster.com/administrative-assistant-real-estate-colorado-springs-co-us-the-stuart-group-at-kw-premier-realty-llc/3d922abb-1422-4965-b3b7-634e99aa7bd1"
"Residual Minded Account Executives","SenText","Woodland Park","CO","80863","1 day ago","2020-04-29T12:00","Full Time, Employee","","","","https://job-openings.monster.com/residual-minded-account-executives-woodland-park-co-us-sentext/217583682"
"Advertising Account Executives","SenText","Fountain","CO","80817","6 days ago","2020-04-24T12:00","Full Time, Employee","","","","https://job-openings.monster.com/advertising-account-executives-fountain-co-us-sentext/217489788"
"Principal Cost Est Associate (SMC) - CCARS exp preferred*","Odyssey Systems Consulting Group","Colorado Springs","CO","","6 days ago","2020-04-24T12:00","","1997","1,000 to 1,499 employees","http://www.odysseyconsult.com","https://job-openings.monster.com/principal-cost-est-associate-smc-ccars-exp-preferred-colorado-springs-co-us-odyssey-systems-consulting-group/7cd6fc3e-b909-4c91-843a-017748175b2a"
"Jr Engineers (3 positions)","APN Software Services Inc.","Colorado Springs","CO","","+30 days ago","2020-02-20T12:00","","","","","https://job-openings.monster.com/jr-engineers-3-positions-colorado-springs-co-us-apn-software-services-inc/f71c13fb-b73e-4869-8d06-6bf675165333"
"Area Supervisor-(22538100)","Ross Stores, Inc.","Colorado Springs","CO","","+30 days ago","2019-08-22T12:00","","","","","https://job-openings.monster.com/area-supervisor-22538100-colorado-springs-co-us-ross-stores-inc/e36838e8-1794-43e1-9c30-3e53712d4786"
"Program Director for Business Development","University of Colorado","Colorado Springs","CO","","+30 days ago","2020-02-21T12:00","","","","","https://job-openings.monster.com/program-director-for-business-development-colorado-springs-co-us-university-of-colorado/c7e2b771-8f6f-40af-aca8-d54e33b37c19"
"Data Analyst (43909)","Andrew Wommack Ministries","Woodland Park","CO","80863","+30 days ago","2020-03-07T12:00","","","","","https://job-openings.monster.com/data-analyst-43909-woodland-park-co-us-andrew-wommack-ministries/5985394b-7658-43d1-8e32-044c95cfc84f"
"Wordpress Developer","selfdecode.com","Colorado Springs","CO","","+30 days ago","2020-03-03T12:00","","","","","https://job-openings.monster.com/wordpress-developer-colorado-springs-co-us-selfdecode-com/5397fbc6-f9c3-4807-8f1b-5071d475505d"
"Software Engineer I","Sanborn Map Company Inc","Colorado Springs","CO","","Posted today","2020-04-30T12:00","","","","","https://job-openings.monster.com/software-engineer-i-colorado-springs-co-us-sanborn-map-company-inc/4a87e6c4-fab7-481a-91c9-0c773bb7240c"
