"Title","Company","City","State","Zipcode","PostedDateText","PostedDate","Job Type","Year Founded","Company Size","Website","Job Link"
"Product Marketing Manager - Digital/Advanced TV Ads - Pharma","CyberCoders","Scottsdale","AZ","","1 day ago","2020-04-29T12:00","Full Time, Employee","1999","100 to 499 employees","http://www.cybercoders.com","https://job-openings.monster.com/product-marketing-manager-digital-advanced-tv-ads-pharma-scottsdale-az-us-cybercoders/217566159"
"Digital Marketing Analyst Lead","NTT DATA Services","Phoenix","AZ","","8 days ago","2020-04-22T12:00","Full Time, Employee","1965","10,000 employees or more","http://www.nttdata.com/americas","https://job-openings.monster.com/digital-marketing-analyst-lead-phoenix-az-us-ntt-data-services/217451131"
"Product Marketing Manager - Digital/Advanced TV Ads - Pharma","CyberCoders","Scottsdale","AZ","","1 day ago","2020-04-29T12:00","Full Time, Employee","1999","100 to 499 employees","http://www.cybercoders.com","https://job-openings.monster.com/product-marketing-manager-digital-advanced-tv-ads-pharma-scottsdale-az-us-cybercoders/217566153"
"Digital Marketing Analyst","NTT DATA Services","Phoenix","AZ","","10 days ago","2020-04-20T12:00","Full Time, Employee","1965","10,000 employees or more","http://www.nttdata.com/americas","https://job-openings.monster.com/digital-marketing-analyst-phoenix-az-us-ntt-data-services/217401757"
"Sales Professional","Empower Associates","Scottsdale","AZ","85253","15 days ago","2020-04-15T12:00","Full Time, Employee","","","","https://job-openings.monster.com/sales-professional-scottsdale-az-us-empower-associates/217304517"
"SEM Director - SEM, Google Ads, Google Analytics","CyberCoders","Scottsdale","AZ","","11 days ago","2020-04-19T12:00","Full Time, Employee","1999","100 to 499 employees","http://www.cybercoders.com","https://job-openings.monster.com/sem-director-sem-google-ads-google-analytics-scottsdale-az-us-cybercoders/217480060"
"Web Analytics Engineer","NTT DATA Services","Phoenix","AZ","","9 days ago","2020-04-21T12:00","Full Time, Employee","1965","10,000 employees or more","http://www.nttdata.com/americas","https://job-openings.monster.com/web-analytics-engineer-phoenix-az-us-ntt-data-services/217423921"
"Digital Marketing Manager (Social and Pay Per Click)","Ylopo","Phoenix","AZ","85012","+30 days ago","2020-03-06T12:00","","","","","https://job-openings.monster.com/digital-marketing-manager-social-pay-per-click-phoenix-az-us-ylopo/2fe218f8-7281-43f8-87cd-d40cd7abcb7b"
"Digital Marketing Analyst Lead","NTT DATA, Inc","Phoenix","AZ","","7 days ago","2020-04-23T12:00","","1967","10,000 employees or more","http://americas.nttdata.com/Careers/Careers.aspx","https://job-openings.monster.com/digital-marketing-analyst-lead-phoenix-az-us-ntt-data-inc/dfde72da-7840-4c76-8b5b-54ad6ed64fe3"
"Digital Marketing Administrator","Turning Point USA","Phoenix","AZ","","12 days ago","2020-04-18T12:00","","","","","https://job-openings.monster.com/digital-marketing-administrator-phoenix-az-us-turning-point-usa/3d4687e3-ce01-4d0e-b0cd-701fa8435c84"
