"Title","Company","City","State","Zipcode","PostedDateText","PostedDate","Job Type","Year Founded","Company Size","Website","Job Link"
"SEM Director - SEM, Google Ads, Google Analytics","CyberCoders","Scottsdale","AZ","","11 days ago","2020-04-19T12:00","Full Time, Employee","1999","100 to 499 employees","http://www.cybercoders.com","https://job-openings.monster.com/sem-director-sem-google-ads-google-analytics-scottsdale-az-us-cybercoders/217480060"
"Splunk/Grafana Engineer","CIT Business Services","Phoenix","AZ","85027","8 days ago","2020-04-22T12:00","Full Time, Temporary/Contract/Project","","","","https://job-openings.monster.com/splunk-grafana-engineer-phoenix-az-us-cit-business-services/217445592"
"Sales Professional","Empower Associates","Scottsdale","AZ","85253","15 days ago","2020-04-15T12:00","Full Time, Employee","","","","https://job-openings.monster.com/sales-professional-scottsdale-az-us-empower-associates/217304517"
"Digital Marketing Analyst Lead","NTT DATA Services","Phoenix","AZ","","8 days ago","2020-04-22T12:00","Full Time, Employee","1965","10,000 employees or more","http://www.nttdata.com/americas","https://job-openings.monster.com/digital-marketing-analyst-lead-phoenix-az-us-ntt-data-services/217451131"
"Paid Marketing & SEO Manager","Webgility","Scottsdale","AZ","85251","+30 days ago","2020-02-10T12:00","","","","","https://job-openings.monster.com/paid-marketing-seo-manager-scottsdale-az-us-webgility/ce89a9fd-2d95-4a6b-ba4e-ace37cb9102d"
"Search Engine Marketing Specialist - Tempe, AZ","ASU Foundation","Tempe","AZ","","+30 days ago","2019-10-21T12:00","","","","","https://job-openings.monster.com/search-engine-marketing-specialist-tempe-az-tempe-az-us-asu-foundation/ccff29ef-7364-4822-b194-ab8154d80bda"
"Digital Marketing Analyst","NTT DATA Services","Phoenix","AZ","","10 days ago","2020-04-20T12:00","Full Time, Employee","1965","10,000 employees or more","http://www.nttdata.com/americas","https://job-openings.monster.com/digital-marketing-analyst-phoenix-az-us-ntt-data-services/217401757"
"SEO Director - SEO, Backlink","CyberCoders","Scottsdale","AZ","","+30 days ago","2020-02-19T12:00","","1999","100 to 499 employees","http://www.cybercoders.com","https://job-openings.monster.com/seo-director-seo-backlink-scottsdale-az-us-cybercoders/75eceb26-4396-45b2-93a4-646491f93765"
"PPC Director - Paid Search, Paid Social","CyberCoders","Scottsdale","AZ","","+30 days ago","2020-02-19T12:00","","1999","100 to 499 employees","http://www.cybercoders.com","https://job-openings.monster.com/ppc-director-paid-search-paid-social-scottsdale-az-us-cybercoders/ae1d1eb7-4bb4-4420-abfd-cac9ac18ae30"
"Customer Service Representative (SEO Optmization)","Majorel USA Inc","Chandler","AZ","85226","Posted today","2020-04-30T12:00","","","","","https://job-openings.monster.com/customer-service-representative-seo-optmization-chandler-az-us-majorel-usa-inc/be31b609-9866-4ce2-971a-ede246ebc668"
"Senior UX Content Strategist","GoDaddy","Scottsdale","AZ","","+30 days ago","2020-02-22T12:00","","","","","https://job-openings.monster.com/senior-ux-content-strategist-scottsdale-az-us-godaddy/95d3b2f0-ecbc-435e-bc15-6f40d9680501"
"Quantum Marketing Digital Strategist (Austin,TX NYC, NY Yorktown, NY)","IBM","Phoenix","AZ","","24 days ago","2020-04-06T12:00","","1911","10,000 employees or more","http://www-03.ibm.com/employment/us/","https://job-openings.monster.com/quantum-marketing-digital-strategist-austin-tx-nyc-ny-yorktown-ny-phoenix-az-us-ibm/c516378b-cd11-4b8b-9daf-27ee6797287a"
"Digital Marketing Coordinator - Great for account manager rockstar looking to transition to digital marketing! (Phoenix Only!)","Ylopo","Phoenix","AZ","85012","+30 days ago","2020-03-06T12:00","","","","","https://job-openings.monster.com/digital-marketing-coordinator-great-for-account-manager-rockstar-looking-to-transition-to-digital-marketing-phoenix-only-phoenix-az-us-ylopo/1b302750-c9b3-471d-995a-58086921e057"
"Digital Ad Operations Spec","Artech Information Systems LLC","Phoenix","AZ","","+30 days ago","2020-02-25T12:00","","1992","5,000 to 9,999 employees","http://www.artech.com","https://job-openings.monster.com/digital-ad-operations-spec-phoenix-az-us-artech-information-systems-llc/6175a688-c133-4067-ac3e-dbc901590eff"
"Digital Media Buyer","CyberCoders","Phoenix","AZ","","+30 days ago","2020-02-19T12:00","","1999","100 to 499 employees","http://www.cybercoders.com","https://job-openings.monster.com/digital-media-buyer-phoenix-az-us-cybercoders/b55e2add-b35f-44b7-8c48-90cf36d24944"
"Digital Strategist","IBM","Phoenix","AZ","","+30 days ago","2020-02-19T12:00","","1911","10,000 employees or more","http://www-03.ibm.com/employment/us/","https://job-openings.monster.com/digital-strategist-phoenix-az-us-ibm/ad77d02a-6448-4a33-a5b2-8cd795bdbf5f"
